月別,經濟成長率,平均每人國民所得毛額（美元）,儲蓄率,失業率,產業結構（按各產業GDP比重）-農業,產業結構（按各產業GDP比重）-工業,產業結構（按各產業GDP比重）-服務業,產業結構（按各產業GDP比重）-服務業-金融中介業,產業結構（按各產業GDP比重）-服務業-保險業,產業結構（按各產業GDP比重）-服務業-證券期貨及其它金融業,躉售物價-指數,躉售物價-年增率,消費者物價-指數,消費者物價-年增率,基本工資（元）-月薪,基本工資（元）-時薪,工業及服務業平均月薪資（元）,製造業平均月薪資（元）,工業及服務業平均月工時（小時）
2020-09,4.26,7499,39.03,3.83,1.52,39.10,59.38,…,…,…,93.86,-8.15,102.40,-0.58,23800,158.0,50351,50462,180.7
2020-10,…,…,…,3.80,…,…,…,…,…,…,93.17,-7.28,102.75,-0.26,23800,158.0,47838,47704,158.9
2020-11,…,…,…,3.75,…,…,…,…,…,…,93.84,-5.90,102.69,0.09,23800,158.0,48482,49990,170.5
2020-12,5.15,7998,39.23,3.68,1.73,36.66,61.62,…,…,…,94.77,-4.79,102.71,0.05,23800,158.0,53520,51558,182.8
2021-01,…,…,…,3.66,…,…,…,…,…,…,96.84,-2.06,103.08,-0.19,24000,160.0,71991,71887,165.1
2021-02,…,…,…,3.70,…,…,…,…,…,…,98.08,0.09,103.58,1.38,24000,160.0,79596,80575,134.2
2021-03,9.27,8065,r   39.53,3.67,r  1.55,r  36.21,r  62.24,…,…,…,100.28,5.19,102.96,1.23,24000,160.0,49025,47612,177.4
2021-04,…,…,…,3.64,…,…,…,…,…,…,101.56,10.50,103.64,2.10,24000,160.0,50157,48071,160.5
2021-05,…,…,…,4.11,…,…,…,…,…,…,102.16,11.71,103.88,2.45,24000,160.0,51907,51095,166.1
2021-06,7.43,8010,p   43.23,4.80,p  1.54,p  38.89,p  59.57,…,…,…,r  102.86,r   10.98,104.08,1.83,24000,160.0,51228,51555,165.2
2021-07,…,…,…,4.53,…,…,…,…,…,…,r  104.66,r   12.16,r  104.29,r   1.91,24000,160.0,"r   55,365","r  64,014",r  172.6
2021-08,…,…,…,4.24,…,…,…,…,…,…,r  105.12,r   11.96,r  104.91,r   2.35,24000,160.0,"p   51,169","p  55,115",p  174.7
2021-09,p   3.80,"p     8,391",f   42.32,3.96,…,…,…,…,…,…,105.09,11.96,105.09,2.63,24000,160.0,…,…,…
