縣市,2014,2015,2016,2017,2018,2019,2020
新北市,32402,32358,32709,32316,34748,36384,42314
臺北市,20529,20649,22448,21682,21548,22882,25545
桃園市,29554,31923,31228,30872,30810,42651,49311
臺中市,56912,52760,50267,46793,43448,42587,41657
臺南市,23146,21524,19652,18458,39491,38770,37494
高雄市,52505,53333,51476,48629,45470,42517,40924
宜蘭縣,5859,5975,6463,6751,7692,7958,8738
新竹縣,13337,12614,14870,14715,17451,18713,20300
苗栗縣,5205,5741,6217,6360,5975,6565,6454
彰化縣,18408,16750,17205,17159,15378,20012,22680
南投縣,5746,6038,6460,6554,6784,7073,7852
雲林縣,8173,8418,8760,9093,9665,10008,10555
嘉義縣,8623,9003,8782,9307,9974,10063,10689
屏東縣,12206,12815,12978,12362,14732,16561,16771
臺東縣,2842,3033,3300,3261,3284,3813,4143
花蓮縣,4851,4758,5033,5004,5079,5337,6300
澎湖縣,863,951,967,864,898,866,968
基隆市,3042,2954,2554,2401,3472,4158,4252
新竹市,6308,6444,6747,5867,7458,8684,9339
嘉義市,2987,2985,2990,2990,2992,3007,3026
金門縣,663,678,712,714,747,897,878
連江縣,18,16,26,13,17,49,41
